"행정구역(시군구)별","연령별","항목","단위","2022.02 월",
"전국","41세","남자인구수[명]","명","423277",
"전국","41세","여자인구수[명]","명","406820",
"전국","42세","총인구수[명]","명","830700",
"전국","42세","남자인구수[명]","명","422667",
"전국","42세","여자인구수[명]","명","408033",
"전국","43세","총인구수[명]","명","742422",
"전국","43세","남자인구수[명]","명","377802",
"전국","43세","여자인구수[명]","명","364620",
"전국","44세","총인구수[명]","명","769487",
"전국","44세","남자인구수[명]","명","389142",
"전국","44세","여자인구수[명]","명","380345",
"전국","45세","총인구수[명]","명","755541",
"전국","45세","남자인구수[명]","명","385805",
"전국","45세","여자인구수[명]","명","369736",
"전국","46세","총인구수[명]","명","782051",
"전국","46세","남자인구수[명]","명","395692",
"전국","46세","여자인구수[명]","명","386359",
"전국","47세","총인구수[명]","명","844877",
"전국","47세","남자인구수[명]","명","429460",
"전국","47세","여자인구수[명]","명","415417",
"전국","48세","총인구수[명]","명","888037",
"전국","48세","남자인구수[명]","명","446351",
"전국","48세","여자인구수[명]","명","441686",
"전국","49세","총인구수[명]","명","888300",
"전국","49세","남자인구수[명]","명","453199",
"전국","49세","여자인구수[명]","명","435101",
"전국","50세","총인구수[명]","명","924628",
"전국","50세","남자인구수[명]","명","471996",
"전국","50세","여자인구수[명]","명","452632",
"전국","51세","총인구수[명]","명","925164",
"전국","51세","남자인구수[명]","명","469556",
"전국","51세","여자인구수[명]","명","455608",
"전국","52세","총인구수[명]","명","904884",
"전국","52세","남자인구수[명]","명","456461",
"전국","52세","여자인구수[명]","명","448423",
"전국","53세","총인구수[명]","명","924470",
"전국","53세","남자인구수[명]","명","464128",
"전국","53세","여자인구수[명]","명","460342",
"전국","54세","총인구수[명]","명","845696",
"전국","54세","남자인구수[명]","명","420556",
"전국","54세","여자인구수[명]","명","425140",
"전국","55세","총인구수[명]","명","828621",
"전국","55세","남자인구수[명]","명","425309",
"전국","55세","여자인구수[명]","명","403312",
"전국","56세","총인구수[명]","명","832569",
"전국","56세","남자인구수[명]","명","418676",
"전국","56세","여자인구수[명]","명","413893",
"전국","57세","총인구수[명]","명","832190",
"전국","57세","남자인구수[명]","명","419814",
"전국","57세","여자인구수[명]","명","412376",
"전국","58세","총인구수[명]","명","762244",
"전국","58세","남자인구수[명]","명","386581",
"전국","58세","여자인구수[명]","명","375663",
"전국","59세","총인구수[명]","명","849597",
"전국","59세","남자인구수[명]","명","430318",
"전국","59세","여자인구수[명]","명","419279",
"전국","60세","총인구수[명]","명","889589",
"전국","60세","남자인구수[명]","명","443761",
"전국","60세","여자인구수[명]","명","445828",
"전국","61세","총인구수[명]","명","919663",
"전국","61세","남자인구수[명]","명","453877",
"전국","61세","여자인구수[명]","명","465786",
"전국","62세","총인구수[명]","명","849148",
"전국","62세","남자인구수[명]","명","417350",
"전국","62세","여자인구수[명]","명","431798",
"전국","63세","총인구수[명]","명","765779",
"전국","63세","남자인구수[명]","명","379197",
"전국","63세","여자인구수[명]","명","386582",
"전국","64세","총인구수[명]","명","745596",
